Sponsor Entity ID,Sponsor CTDS,Sponsor Name,Site EntityID,Site CTDS,Site Name,Percent Eligible for Meals,Total Enrolled as of Last Day in October
4279,070466000,Roosevelt Elementary District,87883,070466024,Bernard Black Elementary School,86%,906
4279,070466000,Roosevelt Elementary District,5368,070466007,C J Jorgensen School,87%,530
4279,070466000,Roosevelt Elementary District,5376,070466016,C O Greenfield School,97%,601
4279,070466000,Roosevelt Elementary District,5363,070466002,Cesar E Chavez Community School,97%,471
4279,070466000,Roosevelt Elementary District,79012,070466022,Cloves C Campbell Sr Elementary School,89%,564
4279,070466000,Roosevelt Elementary District,79013,070466021,Ed & Verma Pastor Elementary School,95%,703
4279,070466000,Roosevelt Elementary District,5377,070466017,Ignacio Conchos School,93%,398
4279,070466000,Roosevelt Elementary District,5374,070466014,John F Kennedy Elementary School,97%,573
4279,070466000,Roosevelt Elementary District,5378,070466018,John R Davis School,91%,517
4279,070466000,Roosevelt Elementary District,5371,070466011,Martin Luther King Early Childhood Center,90%,366
4279,070466000,Roosevelt Elementary District,5379,070466019,Maxine O Bush Elementary School,95%,471
4279,070466000,Roosevelt Elementary District,5364,070466003,Percy L Julian School,98%,770
4279,070466000,Roosevelt Elementary District,5370,070466009,Rose Linda School,98%,537
4279,070466000,Roosevelt Elementary District,5380,070466020,Southwest Elementary School,89%,512
4279,070466000,Roosevelt Elementary District,5365,070466004,Sunland Elementary School,93%,589
4279,070466000,Roosevelt Elementary District,5372,070466012,T G Barr School,96%,561
4279,070466000,Roosevelt Elementary District,5373,070466013,V H Lassen Elementary School,97%,483
4279,070466000,Roosevelt Elementary District,5367,070466006,Valley View School,93%,593
87399,078508000,"Rosefield Charter Elementary School, Inc.",87400,078508101,Imagine Rosefield,33%,820
8477,014001000,"Rough Rock School Board, Inc.",78994,014001201,Rough Rock High School,81%,348
4155,010210000,Round Valley Unified District,4719,010210102,Round Valley Elementary School,58%,599
4155,010210000,Round Valley Unified District,4721,010210210,Round Valley High School,35%,506
4155,010210000,Round Valley Unified District,4720,010210103,Round Valley Middle School,56%,373
4449,110418000,Sacaton Elementary District,5943,110418001,Sacaton Elementary,86%,280
4449,110418000,Sacaton Elementary District,5944,110418002,Sacaton Middle School,75-79%,184
80467,122002000,Sacred Heart School,80468,122002001,Sacred Heart School,90-94%,190
4254,070290000,Saddle Mountain Unified School District,5192,070290101,Ruth Fisher Elementary School,84%,703
4254,070290000,Saddle Mountain Unified School District,89596,070290702,Tartesso Elementary School,51%,371
4254,070290000,Saddle Mountain Unified School District,85819,070290002,Tonopah Valley High School,67%,389
4218,050201000,Safford Unified District,4881,050201100,Dorothy Stinson School,61%,708
4218,050201000,Safford Unified District,4882,050201101,Lafe Nelson School,63%,617
4218,050201000,Safford Unified District,4885,050201201,Mt Graham High School,45-49%,139
4218,050201000,Safford Unified District,79780,050201103,Ruth Powell Elementary School,52%,585
4218,050201000,Safford Unified District,4884,050201200,Safford High School,39%,885
4218,050201000,Safford Unified District,4883,050201102,Safford Middle School,57%,461
89414,078688000,"Sage Academy, Inc.",89415,078688101,Sage Academy,60-64%,157
4411,100230000,Sahuarita Unified District,88387,100230106,Anza Trail,30%,1416
4411,100230000,Sahuarita Unified District,91338,100230104,Copper View Elementary School,27%,613
4411,100230000,Sahuarita Unified District,5843,100230204,Sahuarita High School,38%,950
4411,100230000,Sahuarita Unified District,5840,100230101,Sahuarita Primary School,37%,2034
4411,100230000,Sahuarita Unified District,5841,100230102,Sopori Elementary School,75%,227
4411,100230000,Sahuarita Unified District,90824,100230205,Walden Grove High School,27%,916
4514,150430000,Salome Consolidated Elementary District,6202,150430101,Salome Elementary School,80-84%,119
80152,102006000,Salpointe Catholic High School,80153,102006001,Salpointe Catholic High School,13%,1039
4320,078656000,Salt River Pima-Maricopa  Community Schools,81172,079101001,Early Childhood Education Center,>=98%,222
4320,078656000,Salt River Pima-Maricopa  Community Schools,90159,078656002,Salt River Accelerated Learning Academy,35-39%,46
4320,078656000,Salt River Pima-Maricopa  Community Schools,81170,104001010,Salt River Elementary School,57%,449
4320,078656000,Salt River Pima-Maricopa  Community Schools,5489,078656001,Salt River High School,59%,243
4210,040220000,San Carlos Unified District,5989,040220104,Rice Elementary School,79%,954
4210,040220000,San Carlos Unified District,4864,040220202,San Carlos High School,68%,485
85926,101908000,San Miguel of Tucson Corp.,85927,101908001,San Miguel Catholic High School,75%,345
4172,020218000,San Simon Unified District,4760,020218001,San Simon School,60-64%,147
80154,102007000,San Xavier Mission School,80155,102007001,San Xavier Mission School,80-84%,132
4156,010218000,Sanders Unified District,4722,010218001,Sanders Elementary School,88%,376
4156,010218000,Sanders Unified District,4723,010218002,Sanders Middle School,92%,216
4156,010218000,Sanders Unified District,4724,010218003,Valley High School,88%,275
4459,120328000,Santa Cruz Elementary District,5967,120328101,Little Red Schoolhouse,75-79%,168
4458,120235000,Santa Cruz Valley Unified District,5965,120235130,Calabasas Middle School,81%,377
4458,120235000,Santa Cruz Valley Unified District,89775,120235140,Coatimundi Middle School,69%,410
4458,120235000,Santa Cruz Valley Unified District,5964,120235120,Mountain View School,83%,482
4458,120235000,Santa Cruz Valley Unified District,81128,120235115,Pena Blanca Elementary School,80%,399
4458,120235000,Santa Cruz Valley Unified District,5966,120235200,Rio Rico High School,72%,1109
4458,120235000,Santa Cruz Valley Unified District,5963,120235110,San Cayetano Elementary School,68%,630
4454,110540000,Santa Cruz Valley Union High School District,5951,110540001,Santa Cruz Valley Union High School,87%,396
85454,108719000,"Satori, Inc.",85455,108719101,Satori Charter School,30-34%,180
4240,070248000,Scottsdale Unified District,6009,070248128,Anasazi Elementary,9%,637
4240,070248000,Scottsdale Unified District,5066,070248292,Arcadia High School,35%,1751
4240,070248000,Scottsdale Unified District,5046,070248108,Arcadia Neighborhood Learning Center,47%,505
4240,070248000,Scottsdale Unified District,5069,070248295,Chaparral High School,6%,2080
4240,070248000,Scottsdale Unified District,5054,070248121,Cherokee Elementary School,8%,621
4240,070248000,Scottsdale Unified District,5059,070248127,Cheyenne Traditional Elementary School,3%,1046
4240,070248000,Scottsdale Unified District,5043,070248102,Cochise Elementary School,8%,630
4240,070248000,Scottsdale Unified District,5065,070248169,Cocopah Middle School,8%,885
4240,070248000,Scottsdale Unified District,79639,070248130,Copper Ridge Elementary School,3%,1185
4240,070248000,Scottsdale Unified District,5067,070248293,Coronado High School,76%,1087
4240,070248000,Scottsdale Unified District,6010,070248129,Desert Canyon Elementary,8%,537
4240,070248000,Scottsdale Unified District,5061,070248164,Desert Canyon Middle School,15%,601
4240,070248000,Scottsdale Unified District,5070,070248296,Desert Mountain High School,8%,2279
4240,070248000,Scottsdale Unified District,91283,070248141,Early Childhood Campus - Oak,12%,224
4240,070248000,Scottsdale Unified District,5051,070248114,Hohokam Traditional School,73%,499
4240,070248000,Scottsdale Unified District,5049,070248112,Hopi Elementary School,13%,906
4240,070248000,Scottsdale Unified District,5062,070248165,Ingleside Middle School,45%,745
4240,070248000,Scottsdale Unified District,5045,070248107,Kiva Elementary School,14%,548
4240,070248000,Scottsdale Unified District,5055,070248123,Laguna Elementary School,9%,576
4240,070248000,Scottsdale Unified District,5064,070248167,Mohave Middle School,36%,835
4240,070248000,Scottsdale Unified District,5063,070248166,Mountainside Middle School,8%,817
4240,070248000,Scottsdale Unified District,5050,070248113,Navajo Elementary School,64%,458
4240,070248000,Scottsdale Unified District,5048,070248110,Pima Elementary School,49%,627
4240,070248000,Scottsdale Unified District,5053,070248120,Pueblo Elementary School,23%,572
4240,070248000,Scottsdale Unified District,5057,070248125,Redfield Elementary School,17%,559
4240,070248000,Scottsdale Unified District,5068,070248294,Saguaro High School,26%,1351
4240,070248000,Scottsdale Unified District,5056,070248124,Sequoya Elementary School,15%,503
4240,070248000,Scottsdale Unified District,5060,070248161,Supai Middle School,81%,732
4240,070248000,Scottsdale Unified District,5044,070248103,Tavan Elementary School,72%,784
4240,070248000,Scottsdale Unified District,5047,070248109,Tonalea Elementary School,80%,465
4240,070248000,Scottsdale Unified District,5052,070248115,Yavapai Elementary School,86%,484
80158,094013000,Seba Dalkai Boarding School,80159,014012005,Seba Dalkai School,>=98%,125
88448,099102000,Second Mesa Day School,80161,093906003,Second Mesa Day,77%,272
4467,130209000,Sedona-Oak Creek JUSD #9,6084,130209130,Big Park Community School,43%,345
4467,130209000,Sedona-Oak Creek JUSD #9,6085,130209210,Sedona Red Rock High School,36%,510
4467,130209000,Sedona-Oak Creek JUSD #9,6083,130209120,West Sedona Elementary School,63%,423
4472,130240000,Seligman Unified District,6105,130240202,Seligman High School,60-64%,148
4250,070371000,Sentinel Elementary District,5188,070371101,Sentinel Elementary School,60-69%,31
90790,093917000,"Shonto Governing Board of Education, Inc.",90791,093917001,Shonto Preparatory School,75%,393
90790,093917000,"Shonto Governing Board of Education, Inc.",5653,098746001,Shonto Preparatory Technology High School,50-54%,74
4393,090210000,Show Low Unified District,5628,090210116,Linden Elementary School,45-49%,173
4393,090210000,Show Low Unified District,5627,090210115,Nikolaus Homestead Elementary School,76%,381
4393,090210000,Show Low Unified District,5632,090210225,Show Low High School,46%,826
4393,090210000,Show Low Unified District,5631,090210120,Show Low Junior High School,56%,558
4393,090210000,Show Low Unified District,5626,090210111,Whipple Ranch Elementary School,60%,511
79985,078973000,"Sierra Vista Charter School, Inc.",79638,078973101,Imagine Sierra Vista,48%,290
4175,020268000,Sierra Vista Unified District,4775,020268110,Bella Vista Elementary School,50%,383
4175,020268000,Sierra Vista Unified District,4783,020268260,Buena High School,29%,2185
4175,020268000,Sierra Vista Unified District,4776,020268715,Carmichael Elementary School,79%,317
4175,020268000,Sierra Vista Unified District,4777,020268720,Huachuca Mountain Elementary School,29%,587
4175,020268000,Sierra Vista Unified District,4781,020268150,Joyce Clark Middle School (formerly Sierra Vista Middle School),42%,766
4175,020268000,Sierra Vista Unified District,4778,020268725,Pueblo Del Sol Elementary School,37%,638
4175,020268000,Sierra Vista Unified District,4779,020268130,Town & Country Elementary School,49%,362
4175,020268000,Sierra Vista Unified District,4780,020268135,Village Meadows Elementary School,52%,456
4478,130315000,Skull Valley Elementary District,6113,130315101,Skull Valley Elementary School,30-39%,20
79084,078914000,"Skyline Schools, Inc.",89870,078542101,AZ Compass Prep School,85-89%,94
79084,078914000,"Skyline Schools, Inc.",89941,078566001,Skyline D5,80-84%,106
79084,078914000,"Skyline Schools, Inc.",79092,078914201,Skyline Prep High School,75-79%,125
79084,078914000,"Skyline Schools, Inc.",91109,078599301,South Phoenix Prep and Arts Academy,78%,266
79084,078914000,"Skyline Schools, Inc.",91122,078578301,South Valley Prep and Arts School,75-79%,196
79084,078914000,"Skyline Schools, Inc.",90318,078562001,Vector Prep and Arts Academy,84%,266
4391,090205000,Snowflake Unified District,5619,090205006,Highland Primary School,52%,491
4391,090205000,Snowflake Unified District,5618,090205005,Snowflake High School,35%,690
4391,090205000,Snowflake Unified District,5614,090205001,Snowflake Intermediate School,53%,378
4391,090205000,Snowflake Unified District,5616,090205003,Snowflake Junior High School,48%,378
4391,090205000,Snowflake Unified District,5615,090205002,Taylor Elementary School,55%,297
4391,090205000,Snowflake Unified District,5617,090205004,Taylor Intermediate School,59%,232
4222,050305000,Solomon Elementary District,4894,050305101,Solomon Elementary School,59%,204
4500,140411000,Somerton Elementary District,6166,140411103,Desert Sonora Elementary School,86%,390
4500,140411000,Somerton Elementary District,6165,140411102,Orange Grove Elementary School,91%,382
4500,140411000,Somerton Elementary District,6164,140411101,Somerton Middle School,86%,911
4500,140411000,Somerton Elementary District,6167,140411104,Tierra Del Sol Elementary School,86%,868
4500,140411000,Somerton Elementary District,87330,140411105,Valle Del Encanto Learning Center,83%,353
4461,120425000,Sonoita Elementary District,5970,120425101,Elgin Elementary School,35-39%,119
89915,108503000,Sonoran Science Academy - Broadway,89916,108503101,Sonoran Science Academy - Broadway,55%,342
90284,108504000,Sonoran Science Academy - Davis Monthan,90285,108504001,Sonoran Science Academy - Davis Monthan,25%,214
90541,078577000,Sonoran Science Academy - Phoenix Metro,90639,078577001,Sonoran Science Academy-Peoria,90-94%,119
91329,078240000,South Mountain Preparatory Academy Public Charter Elementary School,92225,078240001,South Mountain Preparatory Academy,60-64%,146
79000,108772000,"Southern Arizona Community Academy, Inc.",79028,108772201,Southern Arizona Community High School,84%,234
79085,108779000,"Southgate Academy, Inc.",79091,108779101,Southgate Academy,65%,590
87694,072781000,Southwest Key Program,87695,072781001,Campbell,>=95%,100
87694,072781000,Southwest Key Program,92288,072781004,Hacienda Del Sol,>=98%,118
87694,072781000,Southwest Key Program,87696,072781002,Lighthouse,>=95%,100
87694,072781000,Southwest Key Program,89946,072781003,Myrtle,>=90%,31
4173,020221000,St David Unified District,4761,020221101,St David Elementary School,65-69%,154
4173,020221000,St David Unified District,4762,020221202,St David High School,55-59%,46
4153,010201000,St Johns Unified District,79531,211011001,AOC-Apache County Juvenile Detention Center,>80%,15
4153,010201000,St Johns Unified District,4517,010201102,Coronado Elementary School,59%,252
4153,010201000,St Johns Unified District,4711,010201205,St Johns High School,44%,283
4153,010201000,St Johns Unified District,4710,010201104,St Johns Middle School,58%,310
88412,072034000,St. Agnes School,88413,072034101,St. Agnes School,65%,220
92206,131912000,St. Ambrose Catholic School,92207,131912001,St. Ambrose Catholic School,47%,233
80170,112002000,St. Anthony of Padua Catholic School,80171,112002001,St. Anthony of Padua Catholic School,15-19%,193
80172,072013000,St. Catherine of Siena Catholic School,80173,072013001,St. Catherine's School,66%,209
80176,072014000,St. Jerome School,80177,072014001,St. Jerome School,37%,265
80178,102004000,St. John the Evangelist,80179,102004001,St. John School,81%,263
80180,072084000,St. John Vianney Catholic School,80983,078603007,C. Doby Elementary School,80-84%,177
80180,072084000,St. John Vianney Catholic School,78955,078603002,Oasis High School,70-74%,69
80180,072084000,St. John Vianney Catholic School,80181,072084001,St. John Vianney Catholic School,59%,275
91814,072094000,St. Louis the King Catholic School,91849,072094001,St. Louis the King Catholic School,79%,214
91795,072093000,St. Mary's Roman Catholic High School Phoenix,91804,072093001,St. Mary's Roman Catholic High School,49%,493
6470,012101000,"St. Michaels Association for Special Education, Inc.",6471,012101001,ST MICHAELS ASSOC FOR SPEC ED,60-69%,27
80190,012003000,St. Michaels Elementary & High School,80191,012003001,St. Michaels School,55%,351
80192,112001000,St. Peter Indian Mission School,80193,112001001,St. Peter Indian Mission School,75-79%,163
80194,072017000,St. Thomas the Apostle,80195,072017001,St. Thomas the Apostle,8%,496
4451,110424000,Stanfield Elementary District,5946,110424001,Stanfield Elementary School,85%,533
85807,078992000,StarShine Academy,80475,078992001,StarShine Academy,98%,443
79453,078924000,Success School,79454,078924001,Arizona Charter Academy,80%,701
80278,092006000,Sun Valley Indian School,80279,092006001,Sun Valley Indian School,>=90%,35
4407,100212000,Sunnyside Unified District,5809,100212106,Apollo Middle School,88%,791
4407,100212000,Sunnyside Unified District,87532,100212133,Billy Lane Lauffer Middle School,73%,851
4407,100212000,Sunnyside Unified District,5824,100212132,Challenger Middle School,85%,946
4407,100212000,Sunnyside Unified District,5811,100212109,Chaparral Middle School,91%,718
4407,100212000,Sunnyside Unified District,5810,100212108,Craycroft Elementary School,78%,793
4407,100212000,Sunnyside Unified District,5826,100212211,Desert View High School,79%,2119
4407,100212000,Sunnyside Unified District,5812,100212112,Drexel Elementary School,96%,587
4407,100212000,Sunnyside Unified District,5813,100212114,Elvira Elementary School,91%,567
4407,100212000,Sunnyside Unified District,5814,100212115,Esperanza Elementary School,93%,630
4407,100212000,Sunnyside Unified District,5816,100212117,Gallego Basic Elementary School,72%,695
4407,100212000,Sunnyside Unified District,5815,100212116,Liberty Elementary School,84%,818
4407,100212000,Sunnyside Unified District,5818,100212119,Los Amigos Elementary School,91%,747
4407,100212000,Sunnyside Unified District,5817,100212118,Los Ninos Elementary School,89%,580
4407,100212000,Sunnyside Unified District,5819,100212120,Los Ranchitos Elementary School,96%,645
4407,100212000,Sunnyside Unified District,5820,100212122,Mission Manor Elementary School,89%,578
4407,100212000,Sunnyside Unified District,5825,100212134,Ocotillo Early Learning Center,45%,492
4407,100212000,Sunnyside Unified District,89584,100212124,Rivera Elementary,91%,667
4407,100212000,Sunnyside Unified District,6288,100212513,S.T.A.R. Academic Center,73%,364
4407,100212000,Sunnyside Unified District,5822,100212126,Santa Clara Elementary School,92%,694
4407,100212000,Sunnyside Unified District,5823,100212131,Sierra Middle School,91%,951
4407,100212000,Sunnyside Unified District,5821,100212123,Summit View Elementary,92%,544
4407,100212000,Sunnyside Unified District,5827,100212230,Sunnyside High School,78%,2309
4440,110215000,Superior Unified School District,5905,110215101,John F Kennedy School,94%,244
4440,110215000,Superior Unified School District,5906,110215102,Superior Junior High School,90-94%,56
4440,110215000,Superior Unified School District,5907,110215205,Superior Senior High School,85-89%,126
4408,100213000,Tanque Verde Unified District,5830,100213105,Agua Caliente School,17%,553
4408,100213000,Tanque Verde Unified District,5828,100213002,Emily Gray Junior High School,15%,369
4408,100213000,Tanque Verde Unified District,5829,100213703,Tanque Verde Elementary School,18%,630
4408,100213000,Tanque Verde Unified District,87466,100213201,Tanque Verde High School,12%,505
90142,078551000,Teleos Preparatory Academy,90143,078551001,Great Hearts Academies - Teleos Prep,73%,211
79218,088702000,"Telesis Center for Learning, Inc.",78857,088702001,Telesis Preparatory Academy,63%,465
4258,070403000,Tempe School District,5226,070403128,Aguilar School,80%,564
4258,070403000,Tempe School District,5222,070403123,Arredondo Elementary School,70%,345
4258,070403000,Tempe School District,5213,070403113,Broadmor Elementary School,37%,659
4258,070403000,Tempe School District,5212,070403111,Carminati School,78%,381
4258,070403000,Tempe School District,5231,070403144,Connolly Middle School,69%,1033
4258,070403000,Tempe School District,5221,070403122,Curry Elementary School,80%,529
4258,070403000,Tempe School District,5232,070403145,Fees College Preparatory Middle School,67%,953
4258,070403000,Tempe School District,5214,070403114,Flora Thew Elementary School,89%,693
4258,070403000,Tempe School District,5211,070403110,Frank Elementary School,89%,608
4258,070403000,Tempe School District,5228,070403130,Fuller Elementary School,41%,617
4258,070403000,Tempe School District,5230,070403143,Gililland Middle School,86%,978
4258,070403000,Tempe School District,5215,070403115,Holdeman Elementary School,88%,656
4258,070403000,Tempe School District,5219,070403120,Hudson Elementary School,67%,424
4258,070403000,Tempe School District,5216,070403117,Laird Elementary School,86%,482
4258,070403000,Tempe School District,5224,070403126,Nevitt Elementary School,88%,817
4258,070403000,Tempe School District,5227,070403129,Rover Elementary School,38%,533
4258,070403000,Tempe School District,5220,070403121,Scales Technology Academy,80%,569
4258,070403000,Tempe School District,91913,070403162,Tempe Academy of International Studies McKemy Campus,45-49%,83
4258,070403000,Tempe School District,81057,070403161,Ward Traditional Academy,27%,473
4258,070403000,Tempe School District,5225,070403127,Wood School,76%,613
4287,070513000,Tempe Union High School District,5450,070513097,Compadre High School,49%,703
4287,070513000,Tempe Union High School District,5447,070513094,Corona Del Sol High School,11%,2750
4287,070513000,Tempe Union High School District,5449,070513096,Desert Vista High School,8%,3064
4287,070513000,Tempe Union High School District,5446,070513093,Marcos De Niza High School,36%,1650
4287,070513000,Tempe Union High School District,5445,070513092,Mcclintock High School,33%,1834
4287,070513000,Tempe Union High School District,5448,070513095,Mountain Pointe High School,23%,2627
4287,070513000,Tempe Union High School District,5444,070513091,Tempe High School,67%,1490
4219,050204000,Thatcher Unified District,4886,050204100,Jack Daley Primary School,51%,445
4219,050204000,Thatcher Unified District,4887,050204101,Thatcher Elementary School,40%,398
4219,050204000,Thatcher Unified District,4889,050204200,Thatcher High School,25%,438
4219,050204000,Thatcher Unified District,4888,050204102,Thatcher Middle School,38%,364
6355,108722000,"The Charter Foundation, Inc.",6063,108722001,AmeriSchools Academy - Camelback,82%,202
7332,072135000,THE NEW FOUNDATION,7333,072135001,THE NEW FOUNDATION,>=90%,40
91250,078206000,"The Paideia Academies, Inc",91775,078206001,The Paideia Academy of South Phoenix,82%,507
78760,093905000,Theodore Roosevelt School,78761,104001006,Theodore Roosevelt,90-94%,115
80200,072711000,"Therapeutic Residences for Youth, Inc.",80201,072711001,Blume House,*,*
80200,072711000,"Therapeutic Residences for Youth, Inc.",80202,072711002,Cambell House,*,*
80200,072711000,"Therapeutic Residences for Youth, Inc.",80203,072711003,Madison House,*,*
80081,094012000,"Tiisyaakin Residential Hall, Inc",80082,094012001,"Tiisyaakin Residential Hall, Inc.",75-79%,118
4264,070417000,Tolleson Elementary District,10869,070417102,Arizona Desert Elementary School,84%,452
4264,070417000,Tolleson Elementary District,87526,070417104,Desert Oasis Elementary School,79%,873
4264,070417000,Tolleson Elementary District,6240,070417101,Porfirio H. Gonzales Elementary School,81%,882
4264,070417000,Tolleson Elementary District,79402,070417103,Sheely Farms Elementary School,74%,942
4288,070514000,Tolleson Union High School District,85810,070514204,Copper Canyon High School,80%,2051
4288,070514000,Tolleson Union High School District,80051,070514203,La Joya Community High School,65%,1939
4288,070514000,Tolleson Union High School District,89908,070514205,Sierra Linda High School,75%,1772
4288,070514000,Tolleson Union High School District,5452,070514201,Tolleson Union High School,69%,2405
4288,070514000,Tolleson Union High School District,5453,070514202,Westview High School,52%,2512
4450,110422000,Toltec Elementary District,92244,110422701,Arizona City Elementary School,91%,527
4450,110422000,Toltec Elementary District,92245,110422702,Cambridge Preparatory Academy,66%,235
4450,110422000,Toltec Elementary District,5945,110422101,Toltec Elementary School,81%,439
4168,020201000,Tombstone Unified District,4749,020201101,Huachuca City School,70%,520
4168,020201000,Tombstone Unified District,4751,020201207,Tombstone High School,46%,390
4168,020201000,Tombstone Unified District,4750,020201102,Walter J Meyer School,70-74%,78
8577,034001000,Tonalea School,80405,033904005,Tonalea School,95%,232
4215,040333000,Tonto Basin Elementary District,4877,040333101,Tonto Basin Elementary,90-94%,74
4376,080412000,Topock Elementary District,5581,080412012,Topock Elementary School,85-89%,152
8578,034002000,Tuba City Boarding School,80411,033904007,Tuba City Boarding School,80%,1319
4197,030215000,Tuba City Unified District,4834,030215111,Dzil Libei Elementary School,60-64%,102
4197,030215000,Tuba City Unified District,4836,030215120,Eagles Nest Intermediate School,61%,247
4197,030215000,Tuba City Unified District,4835,030215112,Gap Primary School,50-54%,69
4197,030215000,Tuba City Unified District,78916,030215140,Tuba City Alternative School,40-49%,38
4197,030215000,Tuba City Unified District,4838,030215240,Tuba City High School,46%,709
4197,030215000,Tuba City Unified District,4837,030215130,Tuba City Junior High School,61%,229
4197,030215000,Tuba City Unified District,4833,030215110,Tuba City Primary School,60%,334
91279,108401000,"Tucson Collegiate Prep, Inc.",91896,108401001,Tucson Collegiate Prep,>=95%,75
79979,108714000,"Tucson International Academy, Inc.",90044,108714103,TIA East,65-69%,84
79979,108714000,"Tucson International Academy, Inc.",90045,108714104,TIA West,75-79%,138
79979,108714000,"Tucson International Academy, Inc.",79980,108714101,Tucson International Academy,75-79%,111
79979,108714000,"Tucson International Academy, Inc.",84297,108714102,Tucson International Academy Midvale,75-79%,165
9800,102255000,Tucson Metropolitan Ministry,80209,102701001,Childrens Village I,*,*
9800,102255000,Tucson Metropolitan Ministry,80210,102701002,Childrens Village II,*,*
9800,102255000,Tucson Metropolitan Ministry,80211,102701003,Childrens Village III,*,*
9800,102255000,Tucson Metropolitan Ministry,80212,102701004,Childrens Village IV,*,*
9800,102255000,Tucson Metropolitan Ministry,80213,102701005,Childrens Village V,*,*
9800,102255000,Tucson Metropolitan Ministry,84657,102701006,Childrens Village VI,*,*
9800,102255000,Tucson Metropolitan Ministry,91852,102255044,Childrens Village VIII,*,*
9800,102255000,Tucson Metropolitan Ministry,91951,102701009,Childrens Village VIIII,*,*
9800,102255000,Tucson Metropolitan Ministry,9804,102255043,Childrens Village VII-Shelter,*,*
4403,100201000,Tucson Unified District,5750,100201555,Alice Vail Middle School,66%,674
4403,100201000,Tucson Unified District,5685,100201238,Anna Henry Elementary School,65%,426
4403,100201000,Tucson Unified District,5694,100201277,Anna Lawrence Intermediate School,92%,410
4403,100201000,Tucson Unified District,5693,100201275,Annie Kellond Elementary School,63%,594
4403,100201000,Tucson Unified District,5659,100201125,Blenman Elementary School,88%,494
4403,100201000,Tucson Unified District,5660,100201128,Bloom Elementary,64%,392
4403,100201000,Tucson Unified District,5661,100201131,Bonillas Elementary Basic Curriculum Magnet School,85%,434
4403,100201000,Tucson Unified District,5738,100201510,Booth-Fickett Math/Science Magnet School,76%,1291
4403,100201000,Tucson Unified District,5663,100201140,Borman Elementary School,35%,506
4403,100201000,Tucson Unified District,5664,100201143,Borton Primary Magnet School,59%,418
4403,100201000,Tucson Unified District,5715,100201371,C E Rose Elementary School,93%,774
4403,100201000,Tucson Unified District,5666,100201161,Carrillo Intermediate Magnet School,79%,308
4403,100201000,Tucson Unified District,5756,100201610,Catalina High Magnet School,80%,1013
4403,100201000,Tucson Unified District,5667,100201167,Cavett Elementary School,>=99%,307
4403,100201000,Tucson Unified District,5757,100201615,Cholla High Magnet School,76%,1658
4403,100201000,Tucson Unified District,5668,100201170,Collier Elementary School,29%,218
4403,100201000,Tucson Unified District,5670,100201179,Cragin Elementary School,88%,371
4403,100201000,Tucson Unified District,5671,100201185,Davidson Elementary School,92%,337
4403,100201000,Tucson Unified District,5672,100201191,Davis Bilingual Magnet School,52%,346
4403,100201000,Tucson Unified District,5673,100201197,Dietz K-8 School,84%,420
4403,100201000,Tucson Unified District,5737,100201505,Doolen Middle School,77%,791
4403,100201000,Tucson Unified District,5674,100201203,Drachman Primary Magnet School,82%,298
4403,100201000,Tucson Unified District,5676,100201211,Dunham Elementary School,62%,226
4403,100201000,Tucson Unified District,5678,100201218,Ford Elementary,76%,407
4403,100201000,Tucson Unified District,5729,100201440,Frances J Warren Elementary School,88%,269
4403,100201000,Tucson Unified District,5680,100201225,Fruchthendler Elementary School,21%,378
4403,100201000,Tucson Unified District,5681,100201228,Gale Elementary School,42%,418
4403,100201000,Tucson Unified District,5739,100201511,Gridley Middle School,49%,740
4403,100201000,Tucson Unified District,5723,100201413,Harold Steele Elementary School,83%,382
4403,100201000,Tucson Unified District,5691,100201266,Harriet Johnson Primary School,95%,370
4403,100201000,Tucson Unified District,80039,100201327,Henry Hank Oyama,88%,424
4403,100201000,Tucson Unified District,5686,100201239,Holladay Intermediate Magnet School,88%,265
4403,100201000,Tucson Unified District,5684,100201233,Hollinger K-8 School,94%,538
4403,100201000,Tucson Unified District,5687,100201245,Howell Peter Elementary,86%,359
4403,100201000,Tucson Unified District,5688,100201251,Hudlow Elementary School,83%,301
4403,100201000,Tucson Unified District,5735,100201502,Ida Flood Dodge Traditional Middle Magnet School,47%,419
4403,100201000,Tucson Unified District,5677,100201215,Irene Erickson Elementary School,87%,609
4403,100201000,Tucson Unified District,5731,100201449,John E White Elementary School,78%,708
4403,100201000,Tucson Unified District,5733,100201461,John E Wright Elementary School,>=99%,404
4403,100201000,Tucson Unified District,80038,100201120,Laura N. Banks Elementary,86%,366
4403,100201000,Tucson Unified District,5695,100201281,Lineweaver Elementary School,57%,559
4403,100201000,Tucson Unified District,5697,100201287,Lynn Urquides,97%,614
4403,100201000,Tucson Unified District,5741,100201515,Magee Middle School,57%,652
4403,100201000,Tucson Unified District,5699,100201290,Maldonado Amelia Elementary School,93%,426
4403,100201000,Tucson Unified District,5742,100201520,Mansfeld Middle School,77%,803
4403,100201000,Tucson Unified District,5700,100201293,Manzo Elementary School,90%,353
4403,100201000,Tucson Unified District,5701,100201295,Marshall Elementary School,68%,346
4403,100201000,Tucson Unified District,6269,100201195,Mary Meredith K-12 School,90-94%,59
4403,100201000,Tucson Unified District,91202,100201523,McCorkle PK-8,83%,888
4403,100201000,Tucson Unified District,5703,100201305,Miles-Exploratory Learning Center,34%,337
4403,100201000,Tucson Unified District,5704,100201308,Miller Elementary School,90%,607
